,kanwil,cabang,jalan,des_kec,kab_prov,telepon
38,CP PULO BRAYAN,Wilayah 1 Medan,JALAN YOS SUDARSO NO. 9A,"Tanjung Mulia Hilir, Medan Deli","Medan, Sumatera Utara",0616639806
39,CP HELVETIA,Wilayah 1 Medan,JALAN KAPTEN MUSLIM KOMPLEK RUKO GRIYA RIATUR NO.7,"Helvetia Timur, Medan Helvetia","Medan, Sumatera Utara",06180021800
40,CP MEDAN PETISAH,Wilayah 1 Medan,JALAN NIBUNG BARU NO.52,"Petisah Tengah, Medan Petisah","Medan, Sumatera Utara",0614153967
41,UPC TITI KUNING,CP MEDAN UTAMA,JALAN ABDUL HARIS NASUTION NO.10 A,"Pangkalan Masyhur, Medan Johor","Medan, Sumatera Utara",0617860967
42,UPC KATAMSO,CP MEDAN UTAMA,JALAN B KATAMSO KOMP. ISTANA PRIMA NO A3,"Suka Raja, Medan Maimun","Medan, Sumatera Utara",0614142385
43,UPC MEDAN PLASA,CP MEDAN UTAMA,JALAN ORION NO 28,"Petisah Tengah, Medan Petisah","Medan, Sumatera Utara",0614522223
44,UPC PUSAT PASAR,CP MEDAN UTAMA,JALAN PUSAT PASAR DALAM GEDUNG LT 1 NO 1072-1073,"Pasar Baru, Medan Kota","Medan, Sumatera Utara",081360241905
45,UPC GAJAHMADA,CP MEDAN UTAMA,JALAN GAJAHMADA NO 2M,"Sei Sikambing D, Medan Petisah","Medan, Sumatera Utara",0614518475
46,UPC SIMPANG UISU,CP MEDAN UTAMA,JALAN SM RAJA NO 290,"Sitirejo II, Medan Amplas","Medan, Sumatera Utara",0617878085
47,UPC MULTATULI,CP MEDAN UTAMA,JALAN JUANDA NO 71,"Aur, Medan Maimun","Medan, Sumatera Utara",0614150340
48,UPC MEDAN THAMRIN,CP MEDAN UTAMA,JALAN SUTRISNO NO. 185,"Kota Matsum IV, Medan Area","Medan, Sumatera Utara",081360392855
49,UPC MARELAN,CP LABUHAN DELI,JALAN TITI PAHLAWAN MARELAN PASAR V,"Paya Pasir, Medan Marelan","Medan, Sumatera Utara",081344901652
50,UPC BELAWAN,CP LABUHAN DELI,JALAN TM PAHLAWAN NO 1 MEDAN BELAWAN,"Belawan Bahagia, Medan Belawan Kota","Medan, Sumatera Utara",0616944654
51,UPC HAMPARAN PERAK,CP LABUHAN DELI,JALAN BESAR HAMPARAN PERAK,"Klambir Lima Kebon, Hamparan Perak","Deli Serdang, Sumatera Utara",085362477897
52,UPC MARTUBUNG,CP LABUHAN DELI,JALAN PANCING I,"Besar, Medan Labuhan","Medan, Sumatera Utara",081260709638
53,UPC MARELAN 2,CP LABUHAN DELI,JALAN MARELAN RAYA PASAR II,"Rengas Pulau, Medan Marelan","Medan, Sumatera Utara",08116171537
54,UPC TANJUNG ANOM,CP PANCUR BATU,JALAN BESAR TANJUNG SELAMAT DUSUN IIB,"Tanjung Selamat, Sunggal","Deli Serdang, Sumatera Utara",06188802540
55,UPC SELAYANG,CP PANCUR BATU,JALAN JAMIN GINTING NO.88 KEL SIMPANG SELAYANG,"Simpang Selayang, Medan Tuntungan","Medan, Sumatera Utara",085215976381
56,UPC KARYA KASIH,CP PANCUR BATU,JALAN KARYA JAYA NO.101C,"Pangkalan Masyhur, Medan Johor","Medan, Sumatera Utara",0617882781
57,UPC STABAT,CP TANJUNG PURA,JL K.H. ZAINUL ARIFIN NO 71 A STABAT,"Stabat Baru, Stabat","Langkat, Sumatera Utara",0618912016
58,UPC KUALA BEGUMIT,CP TANJUNG PURA,JALAN N TENGKU AMIR HAMZAH,"Tanjung Jati, Binjai","Langkat, Sumatera Utara",0618891095
59,UPC PERDAMAIAN STABAT,CP TANJUNG PURA,JALAN SUDIRMAN NO. 36,"Perdamaian, Stabat","Langkat, Sumatera Utara",0618911388
60,UPC PANGKALAN SUSU,CP PKL BRANDAN,JALAN TAMBANG MINYAK NO.147,"Limau Mungkur, Pematang Jaya","Langkat, Sumatera Utara",082167887078
