,kanwil,cabang,jalan,des_kec,kab_prov,telepon
807,UPC SEKADAU,CP SANGGAU,JL LINTAS SEKADAU-SINTANG,"Sei/Sungai Ringin, Sekadau Hilir","Sekadau, Kalimantan Barat",081250085802
808,UPC SOSOK,CP SANGGAU,JALAN RAYA SOSOK I SIMPANG MANDONG,"Pandan Sembuat, Tayan Hulu","Sanggau, Kalimantan Barat",085347905188
809,UPC MELIAU,CP SANGGAU,JALAN DJOKO SOEDARMO,"Meliau Hilir, Meliau","Sanggau, Kalimantan Barat",085349261175
810,UPC BENGKAYANG,CP SANGGAU,JALAN PERWIRA NO.5,"Bumi Emas, Bengkayang","Bengkayang, Kalimantan Barat",081348461063
811,UPC SUNGAI DURI,CP MEMPAWAH,JALAN WIRAGUNA NO. 165,"Sei/Sungai Raya, Sungai Raya Kepulauan","Bengkayang, Kalimantan Barat",081257376051
812,UPC SUNGAI PINYUH,CP MEMPAWAH,JALAN JURUSAN ANJUNGAN NO. 2,"Anjungan Dalam, Anjongan","Pontianak, Kalimantan Barat",085252695767
813,UPC ANJONGAN,CP MEMPAWAH,JALAN PASAR LINTANG,"Anjungan Dalam, Anjongan","Pontianak, Kalimantan Barat",085347682540
814,UPC PASAR PINYUH,CP MEMPAWAH,JALAN DAMAI JURUSAN MEMPAWAH,"Sei/Sungai Pinyuh, Sei/Sungai Pinyuh","Pontianak, Kalimantan Barat",085754580100
815,UPC SAMBAS,CP SINGKAWANG,JALAN PAHLAWAN NO 2,"Lorong, Sambas","Sambas, Kalimantan Barat",082251166018
816,UPC PASAR INPRES SAMBAS,CP SINGKAWANG,JALAN TIONGHOA,"Pendawan, Sambas","Sambas, Kalimantan Barat",081253253141
817,UPC TEBAS KUALA,CP SINGKAWANG,JALAN RAYA TEBAS,"Tebas Kuala, Tebas","Sambas, Kalimantan Barat",081250696133
818,UPC SEKURA,CP SINGKAWANG,JALAN DWIKORA,"Sekura, Teluk Keramat","Sambas, Kalimantan Barat",085246541790
819,UPC PEMANGKAT,CP SINGKAWANG,JALAN NUSANTARA NO 24,"Pemangkat Kota, Pemangkat","Sambas, Kalimantan Barat",0562241696
820,UPC PASAR BERINGIN,CP SINGKAWANG,JALAN HASAN SAAD NO.42 C,"Condong, Singkawang Tengah","Singkawang, Kalimantan Barat",081352136712
821,UPC SAKOK,CP SINGKAWANG,JALAN TANJUNG BATU HARAPAN NO.52,"Pangmilang, Singkawang Selatan","Singkawang, Kalimantan Barat",081352136713
822,UPC ROBAN,CP SINGKAWANG,JALAN JEND. SUDIRMAN NO. 81,"Roban, Singkawang Tengah","Singkawang, Kalimantan Barat",085349567300
823,UPC DIPONEGORO,CP SINGKAWANG,JALAN KEPOL MAHMUD NO.1,"Melayu, Singkawang Barat","Singkawang, Kalimantan Barat",082148468795
824,UPC JEMBATAN LANDAK,CP SIANTAN,JALAN GUSTI SITUT MAHMUD,"Siantan Hulu, Pontianak Utara","Pontianak, Kalimantan Barat",082148134304
825,UPC YAM SABRAN,CP SIANTAN,JALAN YAM SABRAN NO. 76,"Tanjung Hulu, Pontianak Timur","Pontianak, Kalimantan Barat",081351088255
826,UPC JUNGKAT,CP SIANTAN,JALAN PENDIDIKAN NO.2 JUNGKAT,"Jungkat, Siantan","Pontianak, Kalimantan Barat",085213476633
827,UPC SIANTAN HULU,CP SIANTAN,JALAN BUDI UTOMO NO.06,"Siantan Hulu, Pontianak Utara","Pontianak, Kalimantan Barat",081351812145
828,UPC BATU LAYANG,CP SIANTAN,JALAN KHATULISTIWA KM 4,"Batu Layang, Pontianak Utara","Pontianak, Kalimantan Barat",085101516330
829,UPC SUKABANGUN,CP KETAPANG,JL. GAJAH MADA,"Kali Nilam, Delta Pawan","Ketapang, Kalimantan Barat",053435454
830,UPC PASAR TUANTUAN,CP KETAPANG,JALAN A.R HAKIM,"Tuan Tuan, Benua Kayong","Ketapang, Kalimantan Barat",05347725833
831,UPC SUTOYO,CP KETAPANG,JALAN MAYJEN SUTOYO,"Payak Kumang (Paya Kumang), Delta Pawan","Ketapang, Kalimantan Barat",082354005050
832,UPC RANGGE SENTAP,CP KETAPANG,JALAN IMAM BONJOL,"Kantor, Delta Pawan","Ketapang, Kalimantan Barat",05347725835
833,UPC SUKADANA,CP KETAPANG,JL. TANJUNGPURA,"Simpang Tiga, Sukadana","Kayong Utara, Kalimantan Barat",085251188261
834,UPC PASAR BARU KETAPANG,CP KETAPANG,JALAN DIPONEGORO,"Tengah, Delta Pawan","Ketapang, Kalimantan Barat",082154325016
835,UPC SANDAI,CP KETAPANG,JALAN PRAMUKA DUSUN INDRALAYA,"Sandai Kanan, Sandai","Ketapang, Kalimantan Barat",085249120497
836,UPC IMAM BONJOL,CP SUNGAI RAYA,JALAN IMAM BONJOL NO. 18,"Bansir Laut, Pontianak Tenggara","Pontianak, Kalimantan Barat",0561768807
837,UPC TANJUNG RAYA,CP SUNGAI RAYA,JALAN TANJUNG RAYA I NO 21,"Dalam Bugis, Pontianak Timur","Pontianak, Kalimantan Barat",085101160990
838,UPC KUALA AMBAWANG,CP SUNGAI RAYA,JALAN TRANS KALIMANTAN,"Sei/Sungai Ambawang Kuala, Sei/Sungai Ambawang","Kubu Raya, Kalimantan Barat",085753507739
839,UPC SIMPANG KRAMAT,CP SUNGAI RAYA,JALAN KUALA DUA,"Kuala Dua, Sei/Sungai Raya","Kubu Raya, Kalimantan Barat",085107160943
840,UPC RASAU JAYA,CP SUNGAI RAYA,JALAN SULTAN AGUNG NO.36 RASAU JAYA,"Rasau Jaya Umum, Rasau Jaya","Kubu Raya, Kalimantan Barat",085102160944
841,UPC TELUK MULUS,CP SUNGAI RAYA,JALAN ADI SUCIPTO KM 10.7,"Teluk Kapuas, Sei/Sungai Raya","Kubu Raya, Kalimantan Barat",085101161148
842,UPC SUNGAI RAYA DLM,CP SUNGAI RAYA,JALAN SUNGAI RAYA DALAM NO.28 PONTIANAK,"Bangka Belitung Darat, Pontianak Tenggara","Pontianak, Kalimantan Barat",0561582032
843,UPC NANGA PINOH,CP SINTANG,JALAN JUANG BLOK E NO.4,"Paal, Nanga Pinoh","Melawi, Kalimantan Barat",085391219403
844,UPC PASAR NANGAPINOH,CP SINTANG,JALAN GARUDA NOMOR 18 KOMP. PASAR PAGI,"Tanjung Niaga, Nanga Pinoh","Melawi, Kalimantan Barat",082358404302
845,UPC PUTUSSIBAU,CP SINTANG,JALAN KOM.YOS SUDARSO,"Putussibau Kota, Putussibau Utara","Kapuas Hulu, Kalimantan Barat",056722969
846,UPC PASAR DURIAN,CP SINTANG,"JALAN WIRAPATI, DEPAN POLSEK STG KOTA","Kapuas Kanan Hulu, Sintang","Sintang, Kalimantan Barat",082251151161
847,UPC PASAR INPRES,CP SINTANG,JALAN ADI SUCIPTO,"Tanjung Puri, Sintang","Sintang, Kalimantan Barat",085252561482
848,UPC CIPTA MANDIRI,CP SINTANG,JALAN LINTAS MELAWI,"Ladang, Sintang","Sintang, Kalimantan Barat",082353244541
849,UPC SEPAKAT,CP JERUJU,PROF WACHIDIN S HUSODO NO.8,"Sei/Sungai Jawi Dalam, Pontianak Barat","Pontianak, Kalimantan Barat",085105160948
850,UPC NIPAH KUNING,CP JERUJU,JL.KOMYOS SUDARSO,"Sei/Sungai Beliung, Pontianak Barat","Pontianak, Kalimantan Barat",085751796020
851,UPC PASAR MILENIUM,CP JERUJU,JL.KOMYOS SUDARSO NO.02,"Sei/Sungai Jawi, Pontianak Kota","Pontianak, Kalimantan Barat",085108160951
852,UPC SIMPANG MARTA,CP JERUJU,JALAN H RAIS A RAHMAN NO.356A,"Sei/Sungai Jawi Dalam, Pontianak Barat","Pontianak, Kalimantan Barat",085103060952
853,UPC BUKIT BARISAN,CP JERUJU,JALAN BUKIT BARISAN NO.71,"Sei/Sungai Jawi, Pontianak Kota","Pontianak, Kalimantan Barat",085101160953
854,UPC TABRANI AHMAD,CP SUNGAI JAWI,JALAN TABRANI AHMAD,"Sei/Sungai Jawi, Pontianak Kota","Pontianak, Kalimantan Barat",085100161103
855,UPC WACHID HASYIM,CP SUNGAI JAWI,JALAN WAHID HASYIM,"Sei/Sungai Jawi Dalam, Pontianak Barat","Pontianak, Kalimantan Barat",085101161104
856,UPC PASAR IBU,CP SUNGAI JAWI,JALAN H RAIS A RAHMAN DEPAN PASAR IBU,"Sei/Sungai Jawi Dalam, Pontianak Barat","Pontianak, Kalimantan Barat",085100161105
857,UPC PUNGGUR,CP SUNGAI JAWI,JL HUSEIN HAMZAH PAL LIMA,"Pal Lima, Pontianak Barat","Pontianak, Kalimantan Barat",085101161106
858,UPC BANGKA BELITUNG LAUT,CP SUNGAI JAWI,JALAN SUNGAI RAYA DALAM NO. 44C,"Sei/Sungai Raya, Sei/Sungai Raya","Kubu Raya, Kalimantan Barat",082154135563
859,UPC AMPERA,CP KEMUNING,JALAN PROF M YAMIN NO.28D,"Parit Tokaya, Pontianak Selatan","Pontianak, Kalimantan Barat",085101161216
860,UPC M YAMIN,CP KEMUNING,JALAN PROF M YAMIN NO.06,"Parit Tokaya, Pontianak Selatan","Pontianak, Kalimantan Barat",085103161217
861,UPC KALIMANTAN,CP KEMUNING,JALAN KETAPANG NO.96,"Benua Melayu Darat, Pontianak Selatan","Pontianak, Kalimantan Barat",085102161219
862,UPC PURNAMA,CP KEMUNING,JALAN SUMATERA,"Parit Tokaya, Pontianak Selatan","Pontianak, Kalimantan Barat",085100161268
863,CP NUNUKAN,Wilayah 4 Balikpapan,JALAN TIEN SUHARTO NO 29,"Nunukan Timur, Nunukan","Nunukan, Kalimantan Timur",055621571
864,CP SANGGATTA,Wilayah 4 Balikpapan,JALAN APT PRANOTO NO.156,"Sangatta Utara, Sangatta Utara","Kutai Timur, Kalimantan Timur",085100502149
865,CP TANJUNG SELOR,Wilayah 4 Balikpapan,JALAN RAMBAI PADI NO.01,"Tanjung Selor Ilir/Hilir, Tanjung Selor","Bulungan (Bulongan), Kalimantan Timur",05522023198
866,CP TARAKAN,Wilayah 4 Balikpapan,JALAN YOS SUDARSO N0.2,"Karang Balik, Tarakan Barat","Tarakan, Kalimantan Timur",055121126
867,CP MALINAU,Wilayah 4 Balikpapan,JALAN PANEMBAHAN NO.15,"Malinau Kota, Malinau Kota","Malinau, Kalimantan Timur",05532023680
868,CP BONTANG,Wilayah 4 Balikpapan,JALAN BHAYANGKARA KOMPLEK RUKO BTC,"Gunung Elai, Bontang Utara","Bontang, Kalimantan Timur",054829245
869,CP TANJUNG REDEB,Wilayah 4 Balikpapan,JALAN PULAU PANJANG NO. 9,"Gunung Panjang, Tanjung Redeb","Berau, Kalimantan Timur",055422520
870,UPC LINGKAS UJUNG,CP TARAKAN,JALAN YOS SUDARSO NO.12,"Lingkas Ujung, Tarakan Timur","Tarakan, Kalimantan Timur",085250530848
871,UPC PASAR BERINGIN,CP TARAKAN,JALAN CENDAWAN,"Pamusian, Tarakan Tengah","Tarakan, Kalimantan Timur",082311681110
872,UPC PAMUSIAN,CP TARAKAN,JALAN KUSUMA BANGSA,"Pamusian, Tarakan Tengah","Tarakan, Kalimantan Timur",085103554911
873,UPC KARANG BALIK,CP TARAKAN,JALAN JENDERAL SUDIRMAN NO.76,"Karang Balik, Tarakan Barat","Tarakan, Kalimantan Timur",085102554912
874,UPC JUATA LAUT,CP TARAKAN,JALAN P.AJI ISKANDAR NO.48,"Juata Permai, Tarakan Utara","Tarakan, Kalimantan Timur",085211286622
875,UPC KAMPUNG ENAM,CP TARAKAN,JALAN SUNGAI KAPUAS NO.105,"Kampung Enam, Tarakan Timur","Tarakan, Kalimantan Timur",085103312304
876,UPC LOK TUAN,CP BONTANG,JALAN PUPUK RAYA,"Loktuan (Lok Tuan), Bontang Utara","Bontang, Kalimantan Timur",085102126851
877,UPC BERBAS,CP BONTANG,JALAN SULTAN HASANUDDIN NO.01,"Berebas Pantai (Berbas Pantai), Bontang Selatan","Bontang, Kalimantan Timur",085105126852
878,UPC TELIHAN,CP BONTANG,JALAN ASMAWARMAN,"Kanaan, Bontang Barat","Bontang, Kalimantan Timur",085102126853
879,UPC PASAR RAWA INDAH,CP BONTANG,JALAN IR.H.JUANDA,"Kanaan, Bontang Barat","Bontang, Kalimantan Timur",085105126854
880,UPC API API,CP BONTANG,JALAN AHMAD YANI,"Bontang Baru, Bontang Utara","Bontang, Kalimantan Timur",085102126855
881,UPC GAJAH MADA,CP BONTANG,JALAN GAJAH MADA RT. 41,"Berebas Pantai (Berbas Pantai), Bontang Selatan","Bontang, Kalimantan Timur",085103126856
882,UPC SIMPANG EMPAT,CP TANJUNG REDEB,JLN MS. ISWAHYUDI,"Rinding, Teluk Bayur","Berau, Kalimantan Timur",081346575737
883,UPC PASAR GAYAM,CP TANJUNG REDEB,JALAN MILONO,"Gayam, Tanjung Redeb","Berau, Kalimantan Timur",085212150055
884,UPC SM AMINUDIN,CP TANJUNG REDEB,JALAN SM. AMINUDDIN N0.745,"Bugis, Tanjung Redeb","Berau, Kalimantan Timur",081351622700
885,UPC TELUK BAYUR,CP TANJUNG REDEB,JALAN SUNGAI KUYANG,"Teluk Bayur, Teluk Bayur","Berau, Kalimantan Timur",082352667383
886,UPC TALISAYAN,CP TANJUNG REDEB,JALAN POROS TALISAYAN,"Talisayan, Talisayan","Berau, Kalimantan Timur",085389981321
887,UPC PASAR JAMAKER,CP NUNUKAN,JALAN MANUNGGAL NO. 25,"Nunukan Barat, Nunukan","Nunukan, Kalimantan Timur",05562025036
888,UPC PATIMURA,CP NUNUKAN,JALAN PATIMURA,"Nunukan Tengah, Nunukan","Nunukan, Kalimantan Timur",055623350
889,UPC PASAR SENTRAL,CP NUNUKAN,JALAN PASAR SENTRAL INHUTANI NO 158,"Nunukan Utara, Nunukan","Nunukan, Kalimantan Timur",081255237704
890,UPC SEBATIK,CP NUNUKAN,JALAN AHMAD YANI NO 8-9,"Sei/Sungai Nyamuk, Sebatik","Nunukan, Kalimantan Timur",082354534240
891,UPC SANGGATTA UTARA,CP SANGGATTA,JALAN YOS SUDARSO 1 NO.02,"Sangatta Utara, Sangatta Utara","Kutai Timur, Kalimantan Timur",085103502150
892,UPC TELUK LINGGA,CP SANGGATTA,JALAN YOS SUDARSO 3,"Teluk Lingga, Sangatta Utara","Kutai Timur, Kalimantan Timur",085101502153
893,UPC TOWN HALL,CP SANGGATTA,JALAN DR. SOETOMO KOMPLEK TOWNHALL,"Swarga Bara, Sangatta Utara","Kutai Timur, Kalimantan Timur",085101502151
894,UPC BENGALON,CP SANGGATTA,JALAN MULAWARMAN,"Sepaso Barat, Bengalon","Kutai Timur, Kalimantan Timur",082154309575
895,UPC SANGATTA SEBERANG,CP SANGGATTA,JALAN PERTANIAN NO.01,"Sangata Selatan, Sangatta Selatan","Kutai Timur, Kalimantan Timur",085106502155
896,UPC TANJUNG PALAS,CP TANJUNG SELOR,JALAN PADAT KARYA NO.21,"Tanjung Selor Ulu/Hulu, Tanjung Selor","Bulungan (Bulongan), Kalimantan Timur",05522704651
897,UPC PASAR INDUK,CP TANJUNG SELOR,JALAN SENGKAWIT NO.1,"Tengkapak, Tanjung Selor","Bulungan (Bulongan), Kalimantan Timur",085102704652
898,UPC TIDUNG PALA,CP MALINAU,JALAN TMD,"Tideng Pale, Sesayap","Tana Tidung, Kalimantan Timur",05532025068
899,CP MANADO UTARA,Wilayah 5 Manado,JL. DR. SOETOMO NO 199,"Pinaesaan, Wenang","Manado, Sulawesi Utara",0431864197
900,CP TERNATE,Wilayah 5 Manado,JL. NUKILA NO. 63,"Gamalama, Ternate Tengah (Kota)","Ternate, Maluku Utara",081243740785
901,CP BITUNG,Wilayah 5 Manado,JL. YOS SUDARSO NO.3,"Bitung Tengah, Maesa","Bitung, Sulawesi Utara",082195832906
902,CP AIRMADIDI,Wilayah 5 Manado,JALAN RAYA MANADO BITUNG,"Airmadidi Atas, Airmadidi","Minahasa Utara, Sulawesi Utara",081241228813
903,CP MANADO SELATAN,Wilayah 5 Manado,JL. AHMAD YANI NO. 39,"Sario, Sario","Manado, Sulawesi Utara",082296985757
904,CP TOMOHON,Wilayah 5 Manado,JL RAYA KAKASKASEN NO 413,"Kakaskasen Tiga, Tomohon Utara","Tomohon, Sulawesi Utara",082296589691
905,CP MEGA MAS,Wilayah 5 Manado,JL.PIERRE TENDEAN BOULEVARD,"Wenang Selatan, Wenang","Manado, Sulawesi Utara",082197280089
906,CP MANADO TIMUR,Wilayah 5 Manado,JLN. MAESA NO. 11A TLP. 085145791918,"Ranomut, Tikala","Manado, Sulawesi Utara",082195832890
907,CP TAHUNA,Wilayah 5 Manado,JL. RARAMENUSA NO. 40,"Sawang Bendar, Tahuna","Kepulauan Sangihe, Sulawesi Utara",043221138
908,CP AMURANG,Wilayah 5 Manado,JL.RANOYAPO,"Ranoyapo, Amurang","Minahasa Selatan, Sulawesi Utara",082296589836
909,CP KARUMBASAN,Wilayah 5 Manado,JL. SAM RATULANGI NO.487,"Karombasan Utara, Wanea","Manado, Sulawesi Utara",082296894723
910,CP TUMINTING,Wilayah 5 Manado,JL RAYA HASANUDIN NO.01,"Tuminting, Tuminting","Manado, Sulawesi Utara",082195833281
911,CP GIRIAN,Wilayah 5 Manado,JL.WOLTER MONGINSIDI NO.3,"Girian Atas, Girian","Bitung, Sulawesi Utara",082296980078
912,CP MALALAYANG,Wilayah 5 Manado,JL. R. W. MONGISIDI,"Malalayang Satu Timur, Malalayang","Manado, Sulawesi Utara",085256432913
913,CP LANGOWAN,Wilayah 5 Manado,JL. AMONGENA DUA KOMPLEKS PASAR LAMA,"Amongena Dua (II), Langowan Timur","Minahasa, Sulawesi Utara",082195832901
914,CP BASTIONG,Wilayah 5 Manado,JL. RAYA BASTIONG NO. 4,"Bastiong Talangame, Ternate Selatan (Kota)","Ternate, Maluku Utara",085240247137
915,UPC CALACA,CP MANADO UTARA,"CALACA LING.III, KOMPLEKS PASAR CALACA","Calaca, Wenang","Manado, Sulawesi Utara",082296744157
916,UPC PASAR 45,CP MANADO UTARA,JL. SAM RATULANGI NO. 7,"Wenang Utara, Wenang","Manado, Sulawesi Utara",082195833373
917,UPC TELING,CP MANADO UTARA,JL. 14 FEBRUARI NO.78 TELING ATAS LINGK.VII,"Teling Bawah, Wenang","Manado, Sulawesi Utara",082195833415
918,UPC TIKALA,CP MANADO UTARA,JL. TNI VI NO.5 LINGK II TIKALA ARES,"Tikala Ares, Tikala","Manado, Sulawesi Utara",082195054357
919,UPC TINGKULU,CP MANADO UTARA,JL.TOLOLIU SUPIT KEL.TINGKULU,"Tingkulu, Wanea","Manado, Sulawesi Utara",082296579757
920,UPC KARONA,CP MANADO UTARA,JL.14 FEBRUARI TELING ATAS,"Teling Bawah, Wenang","Manado, Sulawesi Utara",085256433560
921,UPC DUFADUFA,CP TERNATE,JL. BATU ANGUS,"Dufa Dufa, Ternate Utara (Kota)","Ternate, Maluku Utara",081243740786
922,UPC JAILOLO,CP TERNATE,JL.PASAR BARU BLOK A NO.8,"Bobane Igo (Bobaneigo), Kao Teluk","Halmahera Utara, Maluku Utara",081243740788
923,UPC SANGAJI,CP TERNATE,JL. A.M. KAMARUDDIN,"Sangaji, Ternate Utara (Kota)","Ternate, Maluku Utara",081243740789
924,UPC MAKASAR BARAT,CP TERNATE,JL. SULTAN KHAIRUN NO 170,"Makasar Timur, Ternate Tengah (Kota)","Ternate, Maluku Utara",081243740790
925,UPC KOTA BARU,CP TERNATE,JL. ZAINAL ABIDIN SYAH NO. 25,"Kayu Merah, Ternate Selatan (Kota)","Ternate, Maluku Utara",081243740791
926,UPC SANANA,CP TERNATE,"DUSUN MERPATI, KOMPLEK PERTOKOAN NO 132","Waiman, Sulabesi Tengah","Kepulauan Sula, Maluku Utara",081243740792
927,UPC PASAR WINENET,CP BITUNG,KOMPLEK PASAR WINENET,"Winenet Dua (II), Aertembaga (Bitung Timur)","Bitung, Sulawesi Utara",082195832907
928,UPC PATETEN,CP BITUNG,JL.M.HATTA KOMP RUKO PATETEN A8/18,"Peteten Satu (I), Aertembaga (Bitung Timur)","Bitung, Sulawesi Utara",082195832908
929,UPC PACEDA,CP BITUNG,JL.XAVERIUS DOTULONG NO.3,"Madidir Weru, Madidir (Bitung Tengah)","Bitung, Sulawesi Utara",082195832910
930,UPC WANEA,CP MANADO SELATAN,JL. SAM RATULANGI NO. 54,"Tanjung Batu, Wanea","Manado, Sulawesi Utara",082296985753
931,UPC GARUDA,CP MANADO SELATAN,JL. GARUDA NO. 80,"Wenang Utara, Wenang","Manado, Sulawesi Utara",082296985754
932,UPC RANOTANA,CP MANADO SELATAN,JL. SAM RATULANGI NO. 400,"Ranotana, Sario","Manado, Sulawesi Utara",082296985752
933,UPC 17 AGUSTUS,CP MANADO SELATAN,JL. 17 AGUSTUS NO. 35 LK VI,"Teling Bawah, Wenang","Manado, Sulawesi Utara",082296985756
934,UPC KLEAK,CP MANADO SELATAN,JL. KAMPUS SELATAN NO.131 LK. II,"Kleak, Malalayang","Manado, Sulawesi Utara",082296985751
935,UPC UNSRAT,CP MANADO SELATAN,JL. SULAWESI LING. VI,"Bahu, Malalayang","Manado, Sulawesi Utara",082296985750
936,UPC PASLATEN,CP TOMOHON,JL RAYA PASLATEN KOMPLEKS TAMAN KOTA - 08114301789,"Paslaten Dua, Tomohon Timur","Tomohon, Sulawesi Utara",082296589692
937,UPC MATANI,CP TOMOHON,JL SAM RATULANGI MATANI III,"Matani Tiga, Tomohon Tengah","Tomohon, Sulawesi Utara",082296589693
938,UPC KAMASI,CP TOMOHON,JL RAYA WOLOAN KAMASI,"Kamasi, Tomohon Tengah","Tomohon, Sulawesi Utara",081356260503
939,UPC WALIAN,CP TOMOHON,JL RAYA WALIAN,"Walian, Tomohon Selatan","Tomohon, Sulawesi Utara",082296589694
940,UPC TONDANO,CP TOMOHON,JL.SAM RATULANGI NO 2,"Wawalintouan, Tondano Barat","Minahasa, Sulawesi Utara",082296589695
941,UPC TATAARAN,CP TOMOHON,JL RAYA TATAARAN LINK V,"Tataaran Dua (II), Tondano Selatan","Minahasa, Sulawesi Utara",082296589697
942,UPC PASAR ATAS,CP TOMOHON,JL PASAR ATAS DEPAN PDAM,"Wawalintouan, Tondano Barat","Minahasa, Sulawesi Utara",082296589698
943,UPC POLITEKNIK,CP MANADO TIMUR,"JL.RAYA POLITEKNIK PERUM.POLIGRIYA INDAH NO,1","Kairagi Dua, Mapanget","Manado, Sulawesi Utara",082195832891
944,UPC PANIKI,CP MANADO TIMUR,JLN. AA MARAMIS,"Paniki Bawah, Mapanget","Manado, Sulawesi Utara",082195832892
945,UPC PERKAMIL,CP MANADO TIMUR,JLN. MANGUNI,"Perkamil, Tikala","Manado, Sulawesi Utara",082195832893
946,UPC MAPANGET,CP MANADO TIMUR,JLN. AA MARAMIS,"Mapanget Barat, Mapanget","Manado, Sulawesi Utara",082195832894
947,UPC KAIRAGI,CP MANADO TIMUR,JLN. M.W. MARAMIS,"Kairagi Satu, Mapanget","Manado, Sulawesi Utara",082195832895
948,UPC PASAR SEGAR,CP MANADO TIMUR,JLN. YOS SUDARSO KOMPLEKS PASAR SEGAR,"Paldua (Paal Dua), Tikala","Manado, Sulawesi Utara",082195832896
949,UPC BANJER,CP MANADO TIMUR,JLN. POMOROW,"Banjer, Tikala","Manado, Sulawesi Utara",082195832897
950,UPC MELONGUANE,CP TAHUNA,JL. KOMPLEK PASAR MELONGUANE TIMUR,"Melonguane Timur, Melonguane","Kepulauan Talaud, Sulawesi Utara",08114302145
951,UPC BEO,CP TAHUNA,JL. SISWA SAMPING KEJAKSAAN,"Beo, Beo","Kepulauan Talaud, Sulawesi Utara",0433311302
952,UPC ULU SIAU,CP TAHUNA,JL DALANISANG LINGKUNGA 1,"Tapile, Siau Timur Selatan","Kepulauan Siau Tagulandang Biaro (Sitaro), Sulawesi Utara",0432310203
953,UPC PETTA,CP TAHUNA,"KAMPUNG PETTA TIMUR, LINDONGAN I","Petta, Tabukan Utara","Kepulauan Sangihe, Sulawesi Utara",08114301847
954,UPC TAMAKO,CP TAHUNA,KAMPUNG NAGHA LINDONGAN II,"Nagha II (Dua), Tamako","Kepulauan Sangihe, Sulawesi Utara",08114301848
955,UPC MODOINDING,CP AMURANG,JL. RAYA PINASUNGKULAN,"Wulurmaatus, Modoinding","Minahasa Selatan, Sulawesi Utara",082296589845
956,UPC TUMPAAN,CP AMURANG,JL.TRANS SULAWESI,"Tumpaan Satu, Tumpaan","Minahasa Selatan, Sulawesi Utara",082296589837
957,UPC MOTOLING,CP AMURANG,JL.TRANS SULAWESI,"Motoling, Motoling","Minahasa Selatan, Sulawesi Utara",082296589839
958,UPC TOMBATU,CP AMURANG,JL.TRANS TOMBATU,"Tombatu, Tombatu","Minahasa Tenggara, Sulawesi Utara",082296589840
959,UPC PASAR AMURANG,CP AMURANG,JL.PASAR AMURANG,"Uwuran Satu, Amurang","Minahasa Selatan, Sulawesi Utara",082296589841
960,UPC TOMPASO BARU,CP AMURANG,JL.PASAR AMURANG,"Tompaso Baru Dua, Tompaso Baru","Minahasa Selatan, Sulawesi Utara",082296589842
961,UPC POIGAR SATU,CP AMURANG,JLN AKD DESA POIGAR II,"Pomoman, Poigar","Bolaang Mongondow (Bolmong), Sulawesi Utara",082296589844
962,UPC PINASUNGKULAN,CP KARUMBASAN,KOMPLEKS PASAR PINASUNGKULAN,"Pakowa, Wanea","Manado, Sulawesi Utara",082296894724
963,UPC PINELENG,CP KARUMBASAN,PINELENG I JL. RAYA TOMOHON MANADO,"Pineleng Satu, Pineleng","Minahasa, Sulawesi Utara",082296894725
964,UPC WINANGUN,CP KARUMBASAN,JL. HARAPAN WINANGUN SATU,"Winangun Satu, Malalayang","Manado, Sulawesi Utara",082296894727
965,UPC PASAR KAROMBASAN,CP KARUMBASAN,KOMPLEKS PASAR PINASUNGKULAN,"Karombasan Utara, Wanea","Manado, Sulawesi Utara",082296894727
966,UPC WAWONASA,CP TUMINTING,JL. ARIE LASUT NO. 121,"Kombos Barat, Singkil","Manado, Sulawesi Utara",082195833284
967,UPC BAILANG,CP TUMINTING,JL RAYA BAILANG,"Bailang, Bunaken","Manado, Sulawesi Utara",082195833282
968,UPC SINGKIL,CP TUMINTING,JL ARIE LASUT,"Singkil Dua, Singkil","Manado, Sulawesi Utara",082195833283
969,UPC PINOKALAN,CP GIRIAN,JL. KOBIS KAUNANG,"Pinokalan, Ranowulu (Bitung Utara)","Bitung, Sulawesi Utara",082296980015
970,UPC PASAR GIRIAN,CP GIRIAN,JL WOLTER MONGINSIDI NO. 51,"Girian Weru Dua (II), Girian","Bitung, Sulawesi Utara",082296980018
971,UPC WANGURER,CP GIRIAN,JL. RAYA WANGURER,"Wangurer Timur, Madidir (Bitung Tengah)","Bitung, Sulawesi Utara",082296980019
972,UPC GIRBA,CP GIRIAN,JL. WOLTER MONGINSIDI NO.83,"Girian Bawah, Girian","Bitung, Sulawesi Utara",082296980021
973,UPC BAHU,CP MALALAYANG,JL.WOLTER MONGINSIDI,"Bahu, Malalayang","Manado, Sulawesi Utara",08114302033
974,UPC TANAWANGKO,CP MALALAYANG,JL. RAYA TRANS SULAWESI NO.4,"Borgo, Tombariri","Minahasa, Sulawesi Utara",08114302029
975,UPC MALALAYANG DUA,CP MALALAYANG,JL. WOLTER MONGINSIDI LINK I NO.108,"Malalayang Satu Barat, Malalayang","Manado, Sulawesi Utara",08114302031
976,UPC KAWANGKOAN,CP LANGOWAN,JL. BW LAPIAN NO. 178 D/A JL. RAYA UNER,"Uner, Kawangkoan","Minahasa, Sulawesi Utara",082195832902
977,UPC BELANG,CP LANGOWAN,JL. P0NOSAKAN BELANG JAGA 3,"Belang, Belang","Minahasa Tenggara, Sulawesi Utara",082195832903
